id,penalty,l1_ratio,alpha,max_iter,random_state,n_jobs,n_samples,n_features,n_classes,n_clusters_per_class,n_informative,flip_y,scale,time
0,none,0.304082638,0.0001,417,475,-1,1089,327,4,3,7,0.074797949,24.24200893,0.409987211
1,l1,0.72774418,0.001,578,569,1,790,373,4,5,7,0.07778087,54.62630195,3.950952768
2,none,0.745885422,0.01,588,529,2,428,1198,2,5,6,0.030196244,17.99996401,0.368701935
3,none,0.474605082,0.001,829,103,4,877,313,6,5,7,0.057261112,82.25722237,1.00455904
4,elasticnet,0.395049437,0.001,167,418,2,216,644,8,5,11,0.073727701,95.51560076,0.802800179
5,l1,0.358837496,0.001,986,94,4,1396,861,4,2,6,0.097483381,31.97344681,7.916113138
6,none,0.758565384,0.0001,929,532,2,908,691,5,2,6,0.095324283,98.23836667,2.206062078
7,l1,0.282840611,0.0001,422,143,8,677,737,9,5,8,0.040463255,54.62820555,2.407142639
8,l1,0.766175888,0.01,308,85,8,498,1191,2,4,9,0.025638762,54.16634645,1.002341032
9,l2,0.249018493,0.001,510,574,8,1380,803,9,5,10,0.024620435,75.04805404,1.607144356
10,none,0.868099569,0.0001,479,535,8,1178,1047,7,4,8,0.017704942,73.65881618,0.905699253
11,l2,0.574206129,0.0001,259,960,2,860,639,10,2,11,0.036164815,82.90484142,1.003841877
12,elasticnet,0.421956091,0.001,618,460,4,628,195,3,5,9,0.077583935,12.87001034,0.803386688
13,l2,0.498461212,0.01,668,503,8,500,1370,9,4,8,0.085757082,47.61937706,1.2073915
14,l2,0.65872421,0.0001,386,66,2,907,1090,5,3,9,0.087698511,43.70476988,1.507311583
15,none,0.193891725,0.0001,103,288,2,111,573,3,3,8,0.005868679,23.33802954,0.1017344
16,none,0.796022768,0.01,691,947,1,484,1276,3,5,7,0.087911403,86.08049312,1.564079523
17,elasticnet,0.63175043,0.01,719,259,2,103,209,9,3,9,0.054385066,76.88807496,0.603312254
18,elasticnet,0.431558588,0.001,265,895,4,646,1001,3,5,7,0.025358379,53.09529102,1.405600786
19,elasticnet,0.734566114,0.0001,365,736,2,1251,877,4,4,11,0.043639043,89.98466959,6.013842106
20,none,0.728533262,0.001,213,101,4,222,128,6,4,8,0.000841724,20.91917088,0.104153633
21,elasticnet,0.660038854,0.001,280,443,8,336,646,3,5,6,0.066471638,17.7119632,0.50413084
22,none,0.677498028,0.0001,213,445,2,859,562,8,2,9,0.031038686,43.45140269,0.603173494
23,none,0.184389982,0.01,306,446,-1,704,611,10,5,8,0.025607122,26.31383823,0.308613777
24,l1,0.501121654,0.0001,695,254,2,893,405,3,2,6,0.084396772,90.24700006,3.107063532
25,none,0.627662201,0.001,871,499,1,173,468,6,3,9,0.047897248,52.69709212,0.542533159
26,elasticnet,0.324578263,0.001,973,987,2,426,245,7,3,9,0.04222734,81.57823513,3.107123852
27,l2,0.85619463,0.0001,763,834,4,584,130,6,4,11,0.088963517,39.5414293,0.302662849
28,none,0.247042603,0.001,130,854,-1,1244,960,10,2,9,0.042828111,19.31355411,0.307452917
29,none,0.634387546,0.01,846,531,2,409,1243,9,5,11,0.028190908,56.1598627,2.706452608
30,l2,0.851089074,0.001,362,610,-1,1052,973,9,2,10,0.028050896,84.78298125,0.710374594
31,l2,0.821664209,0.001,161,978,2,621,1037,6,5,7,0.098146975,67.65263265,0.403149605
32,l2,0.654283855,0.0001,944,678,4,151,835,3,4,9,0.021448468,56.5276906,0.202348232
33,l1,0.325769451,0.001,420,390,4,1058,607,8,3,7,0.096584654,32.41464413,3.708951235
34,none,0.797149359,0.001,794,684,2,826,327,3,5,10,0.064560723,71.06891425,0.803497791
35,elasticnet,0.415559571,0.001,639,205,2,418,768,4,4,8,0.028196963,8.132057461,2.906409979
36,none,0.740437099,0.01,735,524,2,1071,889,9,4,10,0.00783966,38.66135659,5.011070013
37,none,0.378960012,0.001,265,571,8,602,530,3,4,7,0.011067881,61.64210878,0.204308033
38,l1,0.884007579,0.0001,944,502,2,1396,493,10,2,11,0.091744692,61.53857987,22.13564038
39,none,0.671603942,0.001,123,525,2,267,509,7,5,9,0.090634175,78.06038637,0.103012323
40,l1,0.245255087,0.001,452,293,-1,1194,1028,8,2,8,0.06670479,64.35453322,3.616493225
41,elasticnet,0.123018065,0.001,833,375,4,219,1309,5,4,9,0.024287178,10.26957643,3.208013535
42,l2,0.667570778,0.001,976,842,8,1217,113,7,4,11,0.0720008,43.5834977,0.5041821
43,none,0.669810869,0.01,913,713,-1,329,806,3,3,7,0.06429757,87.97230491,0.408014536
44,l2,0.895219919,0.01,255,264,4,1064,627,7,4,8,0.042556025,2.71073665,0.503879786
45,l2,0.31950425,0.001,420,434,2,1366,944,5,5,9,0.056887551,92.74873645,2.107222319
46,elasticnet,0.440556267,0.0001,480,139,2,1047,523,6,3,7,0.041008925,34.27439878,6.31253767
47,elasticnet,0.718741419,0.0001,335,233,2,952,1379,7,5,12,0.069351444,5.965018568,12.42343616
48,elasticnet,0.541496591,0.001,757,717,1,910,1059,5,2,10,0.028574634,99.66447325,25.18621421
49,none,0.449655784,0.0001,513,658,-1,107,154,10,2,7,0.081394423,6.651352636,0.106933832
50,l1,0.769557181,0.0001,769,601,8,1152,233,8,2,11,0.022866477,40.02270228,2.307451248
51,elasticnet,0.523537899,0.01,686,191,4,486,369,5,5,9,0.069092009,99.10231999,1.805185318
52,l1,0.661151908,0.0001,172,485,1,1284,826,6,3,7,0.066881772,55.35308722,6.076055527
53,elasticnet,0.520763815,0.001,397,670,2,497,770,2,5,10,0.072962654,52.9848701,1.04891777
54,elasticnet,0.167353545,0.001,199,527,8,637,415,3,4,9,0.005147937,55.19891497,0.505056381
55,l1,0.166331607,0.0001,735,216,1,1313,686,3,4,9,0.003371858,95.43242066,10.91638327
56,elasticnet,0.53732723,0.01,939,533,-1,280,585,7,4,10,0.030784563,96.31701637,1.307864904
57,l2,0.57837129,0.001,526,675,-1,476,481,8,4,12,0.093173107,90.58993805,0.207501888
58,none,0.136282869,0.0001,727,543,4,1290,1048,7,3,7,0.014083648,17.72083983,2.608286381
59,none,0.333592677,0.01,686,6,8,1039,431,4,4,10,0.020258697,5.774012522,0.605003119
60,none,0.533076732,0.001,758,454,8,1234,1252,4,3,10,0.01930983,32.55263758,1.608695269
61,none,0.698590719,0.01,600,778,1,763,1394,2,4,10,0.010422642,19.84628021,0.783116817
62,l1,0.145860937,0.0001,315,812,2,1157,459,4,3,9,0.094500552,61.03125695,2.506043673
63,l1,0.780078639,0.0001,839,788,2,239,211,9,2,7,0.084203239,80.18689158,1.504099846
64,none,0.847648596,0.01,560,206,1,1351,162,9,5,11,0.004227883,64.22695031,1.992304325
65,l1,0.764424187,0.001,275,78,8,592,316,5,3,9,0.008014936,95.61217465,0.403861761
